Assembly	spades_ref_results_contigs	spades_results_contigs
# fully unaligned contigs	15538	15101
Fully unaligned length	165494342	164243696
# partially unaligned contigs	1063	1063
Partially unaligned length	24093990	25420368
# N's	0	0
