Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
spades_ref_results_contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1267	273	273	0	488
spades_results_contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1280	286	286	0	507
